S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Andhra Pradesh,ANDHRA PRADESH,81.3,96.9,97.2,1.7,99.5,99.8,0.5,35.6,5.4,59.4,73.6,0.2,52.8,2.7
1.0,Anantapur,ANDHRA PRADESH,81.9,101.2,94.4,2.3,99.7,99.9,0.3,27.8,2.6,109.2,89.6,0.2,91.1,0.0
2.0,Chittoor,ANDHRA PRADESH,87.5,87.5,96.4,4.4,100.0,100.0,0.0,32.5,8.9,38.2,91.6,0.3,41.8,0.0
3.0,Cuddapah,ANDHRA PRADESH,84.9,98.7,94.5,0.3,99.8,100.0,0.2,34.3,0.3,390.7,66.3,1.8,13.2,0.0
4.0,East Godavari,ANDHRA PRADESH,87.4,96.6,95.9,0.6,100.0,100.0,0.0,51.2,8.5,25.2,67.6,0.0,67.6,0.0
5.0,Guntur,ANDHRA PRADESH,78.9,83.5,94.2,2.4,100.0,100.0,0.0,10.9,0.2,2341.9,81.7,0.0,35.6,100.0
6.0,Krishna,ANDHRA PRADESH,81.3,102.9,99.7,2.4,100.0,100.0,0.0,55.0,0.7,41.3,75.8,0.4,37.7,66.7
7.0,Kurnool,ANDHRA PRADESH,76.5,98.5,101.2,1.4,99.6,99.8,0.4,21.6,13.5,38.4,72.4,0.0,48.4,0.0
8.0,Nellore,ANDHRA PRADESH,84.0,101.3,97.6,2.1,99.9,100.0,0.1,39.8,3.2,176.6,91.2,0.1,37.5,0.0
9.0,Prakasam,ANDHRA PRADESH,78.7,101.6,94.8,1.4,100.0,100.0,0.0,39.1,3.9,109.2,72.4,0.0,46.1,100.0
10.0,Srikakulam,ANDHRA PRADESH,76.9,92.2,94.5,0.2,100.0,100.0,0.0,56.6,4.0,51.3,69.0,0.0,51.6,0.0
11.0,Vishakapatnam,ANDHRA PRADESH,64.5,96.6,99.5,1.4,95.5,98.7,4.5,30.0,6.3,18.6,84.7,0.1,42.8,100.0
12.0,Vizianagaram,ANDHRA PRADESH,92.5,103.9,103.4,1.1,99.9,100.0,0.1,26.9,14.0,50.3,63.8,0.0,91.8,0.0
13.0,West Godavari,ANDHRA PRADESH,91.5,102.2,99.1,1.6,100.0,100.0,0.0,56.5,3.6,61.7,8.6,0.1,93.2,0.0
