S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Arunachal Pradesh,ARUNACHAL PRADESH,37.8,32.1,53.4,2.0,88.6,93.0,11.4,18.0,1.2,45.3,56.4,0.1,44.7,81.5
1.0,Anjaw,ARUNACHAL PRADESH,23.5,6.7,77.3,0.0,73.1,96.2,26.9,0.0,0.0,0.0,76.5,0.0,4.2,0.0
2.0,Changlang,ARUNACHAL PRADESH,39.6,28.1,36.0,0.8,67.3,78.7,32.7,0.0,1.1,0.0,4.9,0.0,23.6,0.0
3.0,Dibang Valley,ARUNACHAL PRADESH,65.2,26.1,82.6,0.0,100.0,100.0,0.0,0.0,0.0,0.0,82.6,0.0,0.0,0.0
4.0,East Kameng,ARUNACHAL PRADESH,65.6,33.1,39.0,0.7,94.5,96.3,5.5,0.0,0.0,0.0,26.6,0.0,22.0,100.0
5.0,East Siang,ARUNACHAL PRADESH,45.3,21.7,53.3,2.4,97.0,98.6,3.0,23.1,1.4,100.0,29.9,0.3,76.4,87.5
6.0,Kra Daadi,ARUNACHAL PRADESH,32.4,38.2,89.7,13.2,41.4,100.0,58.6,0.0,0.0,0.0,10.3,0.0,39.7,0.0
7.0,Kurung Kumey,ARUNACHAL PRADESH,48.7,42.6,95.9,1.5,85.7,100.0,14.3,0.0,0.0,0.0,95.9,0.0,26.7,0.0
8.0,Lohit,ARUNACHAL PRADESH,39.1,110.7,31.3,0.0,97.2,97.2,2.8,13.2,0.9,0.0,16.4,0.0,31.9,0.0
9.0,Longding,ARUNACHAL PRADESH,29.8,15.7,43.5,0.0,49.4,66.5,50.6,0.0,0.0,0.0,8.0,0.0,18.2,0.0
10.0,Lower Dibang Valley,ARUNACHAL PRADESH,35.8,40.9,17.3,0.0,87.2,100.0,12.8,0.0,0.0,0.0,18.2,0.0,29.2,0.0
11.0,Lower Subansiri,ARUNACHAL PRADESH,45.1,26.6,53.3,1.2,89.4,89.4,10.6,0.0,6.7,100.0,56.1,0.0,41.0,100.0
12.0,Namsai,ARUNACHAL PRADESH,45.2,43.8,70.9,4.0,74.7,75.3,25.3,0.0,0.0,0.0,67.6,0.0,11.2,0.0
13.0,Papum Pare,ARUNACHAL PRADESH,16.8,18.8,48.9,2.5,99.3,99.8,0.7,38.7,0.5,0.0,51.2,0.5,61.8,100.0
14.0,Siang,ARUNACHAL PRADESH,24.7,19.8,40.7,0.0,71.4,100.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Tawang,ARUNACHAL PRADESH,40.3,24.8,31.1,2.9,66.2,88.0,33.8,17.0,5.6,37.5,101.9,0.0,43.7,0.0
16.0,Tirap,ARUNACHAL PRADESH,52.8,36.7,59.6,0.6,69.9,78.9,30.1,0.0,0.0,0.0,66.4,0.0,81.5,0.0
17.0,Upper Siang,ARUNACHAL PRADESH,40.4,31.3,63.3,0.6,96.3,96.3,3.7,5.8,0.0,0.0,72.9,0.0,55.4,0.0
18.0,Upper Subansiri,ARUNACHAL PRADESH,30.0,21.9,51.7,7.5,100.0,100.0,0.0,0.0,0.0,0.0,42.3,0.0,54.4,100.0
19.0,West Kameng,ARUNACHAL PRADESH,71.4,30.5,73.0,1.2,97.3,100.0,2.7,0.0,0.0,0.0,35.3,0.0,47.0,0.0
20.0,West Siang,ARUNACHAL PRADESH,40.2,47.0,82.2,1.0,98.3,99.3,1.7,21.3,7.0,40.0,266.9,0.0,82.6,100.0
