S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Assam,ASSAM,87.4,61.1,93.5,2.4,90.4,93.3,9.6,24.9,10.8,43.2,81.2,1.0,39.1,26.4
1.0,Baksa,ASSAM,87.6,61.1,82.1,2.4,95.0,98.0,5.0,3.2,2.1,0.0,74.7,0.0,37.4,0.0
2.0,Barpeta,ASSAM,86.4,60.2,98.4,2.1,83.6,93.3,16.4,21.3,3.4,6.0,85.8,0.0,27.7,0.0
3.0,Bongaigaon,ASSAM,90.1,59.7,99.2,2.4,94.3,95.5,5.7,35.3,31.5,5.4,94.7,0.0,31.5,100.0
4.0,Cachar,ASSAM,88.5,61.7,85.0,1.6,97.3,98.4,2.7,28.5,19.7,75.7,82.6,0.0,40.7,75.0
5.0,Chirang,ASSAM,83.4,61.3,80.7,1.8,80.9,82.5,19.1,19.1,1.1,0.0,35.2,0.0,23.3,0.0
6.0,Darrang,ASSAM,95.3,67.4,95.8,6.2,96.2,97.5,3.8,9.4,35.6,23.7,94.1,0.0,37.8,0.0
7.0,Dhemaji,ASSAM,93.9,52.0,95.6,1.8,99.9,100.0,0.1,27.7,7.3,26.5,81.2,0.0,57.8,80.0
8.0,Dhubri,ASSAM,85.4,60.2,94.8,1.8,60.5,67.7,39.5,5.7,4.0,52.4,89.7,0.2,13.9,16.7
9.0,Dibrugarh,ASSAM,89.2,66.2,100.0,4.7,99.7,99.7,0.3,37.9,35.1,68.7,84.1,0.1,21.7,0.0
10.0,Dima Hasao,ASSAM,69.9,37.7,76.3,3.0,64.7,81.0,35.3,25.5,10.9,64.2,71.2,0.0,47.4,0.0
11.0,Goalpara,ASSAM,95.8,64.6,97.8,2.6,95.4,99.6,4.6,17.5,8.3,27.6,96.4,0.0,47.9,0.0
12.0,Golaghat,ASSAM,89.0,52.2,78.7,1.8,99.0,99.5,1.0,23.8,6.2,53.3,87.4,0.0,18.2,0.0
13.0,Hailakandi,ASSAM,85.4,54.3,98.9,0.8,87.2,92.5,12.8,2.1,8.1,28.1,89.6,0.0,26.3,0.0
14.0,Jorhat,ASSAM,96.7,75.9,96.8,2.2,99.7,99.9,0.3,53.1,20.2,14.1,92.7,0.0,75.6,0.0
15.0,Kamrup M,ASSAM,83.7,91.7,99.4,8.8,99.6,99.7,0.4,51.4,13.4,92.7,95.6,25.1,65.0,1.5
16.0,Kamrup R,ASSAM,90.4,61.0,91.3,1.0,98.1,98.8,1.9,20.4,5.2,26.7,77.9,0.0,65.1,0.0
17.0,Karbi Anglong,ASSAM,76.9,48.4,97.2,3.0,81.0,85.9,19.0,7.7,4.6,36.0,78.2,0.0,31.0,100.0
18.0,Karimganj,ASSAM,88.3,60.9,97.1,1.7,74.4,83.0,25.6,13.8,16.1,2.8,90.8,0.2,41.6,466.7
19.0,Kokrajhar,ASSAM,79.2,48.9,73.5,2.4,92.3,93.5,7.7,20.4,3.6,57.7,49.5,0.0,37.0,0.0
20.0,Lakhimpur,ASSAM,91.6,63.0,92.9,1.4,99.2,99.8,0.8,27.3,1.4,317.0,56.9,0.0,37.0,0.0
21.0,Marigaon,ASSAM,86.6,51.7,100.0,1.2,89.7,95.0,10.3,5.1,16.3,15.4,97.4,0.0,31.9,0.0
22.0,Nagaon,ASSAM,79.5,61.7,93.0,1.7,92.8,93.6,7.2,26.7,2.7,31.0,77.1,0.0,42.1,33.3
23.0,Nalbari,ASSAM,93.3,54.1,96.7,0.8,96.4,99.8,3.6,38.1,9.0,36.9,91.2,0.0,61.5,0.0
24.0,Sibsagar,ASSAM,90.1,55.5,98.9,3.8,98.9,100.0,1.1,24.1,17.6,9.4,80.1,0.0,31.4,100.0
25.0,Sonitpur,ASSAM,93.2,65.1,95.1,2.3,92.0,92.4,8.0,27.0,3.6,80.7,50.0,0.0,50.7,100.0
26.0,Tinsukia,ASSAM,86.6,65.6,96.3,2.0,97.8,98.4,2.2,30.3,8.5,28.3,81.4,1.1,44.8,0.0
27.0,Udalguri,ASSAM,89.3,50.7,83.8,2.0,93.9,98.2,6.1,4.2,1.8,0.0,75.2,0.0,34.8,0.0
