S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Bihar,BIHAR,67.4,63.2,72.8,0.7,81.2,84.7,18.8,2.8,3.4,18.3,51.8,0.2,6.7,3.1
1.0,Araria,BIHAR,54.4,54.6,85.7,0.5,74.5,75.1,25.5,1.0,3.6,12.1,71.2,0.2,0.0,0.0
2.0,Arwal,BIHAR,75.6,63.2,77.0,0.0,90.7,94.2,9.3,0.9,2.6,0.0,76.9,0.0,3.2,0.0
3.0,Aurangabad,BIHAR,74.2,57.4,81.7,0.9,72.0,89.9,28.0,1.0,2.5,22.0,80.5,0.0,14.7,0.0
4.0,Banka,BIHAR,69.7,69.4,66.6,0.8,89.4,95.2,10.6,1.3,9.7,0.7,43.1,0.0,16.6,0.0
5.0,Begusarai,BIHAR,76.2,84.1,96.3,1.5,79.7,91.0,20.3,0.4,1.7,13.5,94.3,0.0,0.0,0.0
6.0,Bhagalpur,BIHAR,58.9,45.0,64.4,1.1,87.2,89.2,12.8,6.2,2.6,69.4,42.9,0.3,8.4,100.0
7.0,Bhojpur,BIHAR,66.3,70.5,63.4,0.6,91.4,92.3,8.6,3.1,1.3,17.6,19.9,0.0,1.2,0.0
8.0,Buxar,BIHAR,70.2,73.9,88.0,0.6,89.1,93.7,10.9,1.2,1.2,0.0,25.3,0.0,4.7,0.0
9.0,Darbhanga,BIHAR,55.5,48.5,77.8,0.2,71.2,74.3,28.8,4.8,0.1,0.0,49.1,0.8,3.1,0.0
10.0,East Champaran,BIHAR,53.9,51.3,52.9,0.4,74.7,77.5,25.3,0.4,2.5,5.3,38.2,0.0,0.0,0.0
11.0,Gaya,BIHAR,67.4,59.0,68.5,0.5,69.3,70.9,30.7,6.5,2.2,21.1,57.2,0.0,0.4,0.0
12.0,Gopalganj,BIHAR,72.6,67.4,79.9,0.9,90.5,91.6,9.5,6.2,8.5,8.9,79.2,0.0,16.4,0.0
13.0,Jamui,BIHAR,65.4,63.1,62.1,0.3,71.1,78.1,28.9,2.6,2.2,20.9,50.1,0.0,22.7,0.0
14.0,Jehanabad,BIHAR,60.5,66.1,60.8,0.3,94.7,96.1,5.3,2.9,7.1,51.3,53.2,0.0,18.9,0.0
15.0,Kaimur Bhabua,BIHAR,72.9,82.0,65.9,0.6,91.6,92.2,8.4,3.4,3.3,31.9,44.7,0.0,0.0,0.0
16.0,Katihar,BIHAR,74.7,77.8,85.9,0.4,80.1,82.8,19.9,1.9,2.4,6.4,67.4,0.0,0.5,0.0
17.0,Khagaria,BIHAR,86.0,81.7,56.4,0.1,81.8,92.9,18.2,0.5,1.4,35.7,15.8,0.0,10.3,0.0
