S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Chhattisgarh,CHHATTISGARH,89.2,88.7,96.4,2.0,98.3,99.0,1.7,15.2,10.8,18.1,73.2,0.4,40.3,51.2
1.0,Balod,CHHATTISGARH,92.1,78.0,93.7,0.8,99.7,99.9,0.3,11.5,0.4,0.0,73.6,0.0,56.8,0.0
2.0,Baloda Bazar,CHHATTISGARH,89.7,84.0,105.7,2.0,98.5,98.7,1.5,9.9,16.8,5.8,95.6,0.0,34.4,0.0
3.0,Balrampur,CHHATTISGARH,87.8,83.5,93.7,0.9,99.8,99.9,0.2,0.0,0.2,0.0,87.2,0.0,13.7,100.0
4.0,Bastar,CHHATTISGARH,71.1,81.8,97.7,6.0,97.8,99.1,2.2,8.6,3.3,40.3,68.5,0.9,18.8,66.7
5.0,Bemetra,CHHATTISGARH,81.8,82.2,83.8,1.1,98.0,98.7,2.0,2.5,5.1,11.3,62.1,0.0,43.7,0.0
6.0,Bijapur,CHHATTISGARH,81.9,76.4,92.9,2.1,78.9,81.1,21.1,4.1,9.8,19.5,89.9,0.1,4.5,0.0
7.0,Bilaspur,CHHATTISGARH,82.4,88.0,94.0,2.4,98.5,99.7,1.5,18.6,6.9,21.2,66.5,0.0,27.6,38.5
8.0,Dantewada,CHHATTISGARH,95.0,99.6,100.5,2.1,93.1,94.4,6.9,10.6,1.7,353.8,93.9,3.3,28.2,0.0
9.0,Dhamtari,CHHATTISGARH,95.6,85.6,97.8,1.4,100.0,100.0,0.0,28.7,9.2,28.9,90.6,0.2,40.3,100.0
10.0,Durg,CHHATTISGARH,91.7,93.4,100.5,2.1,99.3,99.5,0.7,28.9,29.0,9.5,75.3,1.7,60.2,0.0
11.0,Gariyaband,CHHATTISGARH,92.7,89.9,104.4,1.2,94.1,96.2,5.9,4.5,8.5,11.2,76.3,2.1,45.1,100.0
12.0,Janjgir Champa,CHHATTISGARH,90.0,82.8,93.8,0.8,99.8,99.8,0.2,15.7,7.5,16.9,63.9,0.0,40.3,16.7
13.0,Jashpur,CHHATTISGARH,93.9,100.0,91.4,1.4,99.9,99.9,0.1,9.1,6.3,20.0,63.4,0.0,38.7,50.0
14.0,Kanker,CHHATTISGARH,96.3,83.2,100.2,3.2,99.8,100.0,0.2,5.9,5.1,27.6,76.2,0.1,23.6,100.0
15.0,Kawardha,CHHATTISGARH,95.7,100.8,112.3,1.0,99.2,99.3,0.8,10.8,7.4,14.9,74.4,0.1,31.5,0.0
16.0,Kondagaon,CHHATTISGARH,85.7,86.5,85.0,2.6,97.0,98.8,3.0,2.4,6.7,10.7,75.8,0.0,20.2,0.0
17.0,Korba,CHHATTISGARH,96.0,102.7,102.8,3.1,99.4,99.9,0.6,13.9,8.7,10.2,90.8,1.4,55.4,28.6
18.0,Koriya,CHHATTISGARH,84.8,80.4,88.7,3.0,97.4,99.4,2.6,10.9,6.5,25.6,88.5,0.0,78.7,100.0
19.0,Mahasamund,CHHATTISGARH,92.5,89.5,88.5,2.3,99.7,99.9,0.3,16.8,11.7,16.6,58.9,0.0,47.4,100.0
20.0,Mungeli,CHHATTISGARH,92.4,93.2,94.9,0.5,97.3,99.3,2.7,5.2,0.1,233.3,82.7,0.0,34.4,0.0
21.0,Narayanpur,CHHATTISGARH,85.6,88.8,95.8,2.3,73.1,81.3,26.9,8.0,4.7,4.5,92.9,0.0,35.9,0.0
22.0,Raigarh,CHHATTISGARH,94.9,96.8,102.7,1.4,99.4,99.7,0.6,21.3,9.2,23.2,84.3,0.2,43.9,0.0
23.0,Raipur,CHHATTISGARH,86.4,95.4,98.7,2.3,99.3,99.4,0.7,42.2,43.3,6.3,61.3,0.6,64.9,60.0
24.0,Rajnandgaon,CHHATTISGARH,89.2,79.9,87.6,1.9,98.7,99.5,1.3,7.8,6.4,71.1,57.0,0.1,27.8,100.0
25.0,Sukma,CHHATTISGARH,86.7,77.8,86.6,3.0,95.9,96.1,4.1,0.0,2.1,60.9,75.6,2.5,44.7,0.0
26.0,Surajpur,CHHATTISGARH,90.3,78.9,87.7,0.7,98.0,99.0,2.0,1.9,1.4,37.0,22.5,0.1,24.2,66.7
27.0,Surguja,CHHATTISGARH,92.2,91.9,106.1,3.9,99.2,99.5,0.8,14.1,1.7,355.2,100.3,0.3,53.4,40.0
