S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Gujarat,GUJARAT,84.6,84.2,91.8,1.6,99.5,99.8,0.5,18.3,3.5,63.2,91.5,0.3,31.9,10.3
1.0,Ahmedabad,GUJARAT,75.7,100.1,89.6,5.2,99.8,100.0,0.2,30.5,5.0,59.3,87.0,1.8,49.2,84.6
2.0,Amreli,GUJARAT,71.4,74.9,85.5,1.0,98.5,99.3,1.5,12.7,5.4,63.4,74.3,0.0,13.4,2.2
3.0,Anand,GUJARAT,79.0,74.5,87.8,0.4,99.9,99.9,0.1,15.4,0.6,102.2,82.8,0.0,45.1,62.5
4.0,Aravalli,GUJARAT,84.9,80.5,96.7,0.1,99.9,100.0,0.1,8.8,0.0,0.0,94.0,0.0,15.0,50.0
5.0,Banas Kantha,GUJARAT,85.3,82.5,106.3,1.3,99.8,100.0,0.2,11.4,1.1,93.4,106.3,0.0,0.0,0.0
6.0,Bharuch,GUJARAT,85.3,87.4,91.7,0.4,99.9,100.0,0.1,18.1,11.6,49.0,91.4,0.0,31.7,83.3
7.0,Bhavnagar,GUJARAT,87.0,78.2,94.4,1.0,99.6,99.8,0.4,19.4,0.4,131.8,94.5,0.0,29.9,0.0
8.0,Botad,GUJARAT,84.9,117.4,96.7,0.8,99.4,100.0,0.6,7.7,1.5,17.4,96.6,0.0,25.8,0.0
9.0,Chhotaudepur,GUJARAT,90.2,100.0,89.2,2.3,94.4,100.0,5.6,4.7,2.3,82.1,89.5,0.0,43.3,0.0
