S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Haryana,HARYANA,74.4,65.2,71.0,1.5,96.0,96.2,4.0,19.5,9.2,46.1,66.1,0.7,58.5,29.2
1.0,Ambala,HARYANA,81.1,78.9,102.6,2.1,100.0,100.0,0.0,32.8,29.4,33.1,96.6,0.1,90.9,0.0
2.0,Bhiwani,HARYANA,84.5,82.5,113.8,0.6,99.4,99.4,0.6,13.8,6.8,37.2,101.0,1.7,105.9,100.0
3.0,Charkhi Dadri,HARYANA,75.3,57.6,75.7,1.4,99.8,99.8,0.2,6.2,11.1,44.4,62.4,0.0,47.5,0.0
4.0,Faridabad,HARYANA,56.5,59.0,65.6,0.7,93.7,93.8,6.3,22.2,9.0,15.8,36.2,0.3,41.1,0.0
5.0,Fatehabad,HARYANA,85.4,66.8,62.9,2.9,99.5,99.6,0.5,25.8,21.9,36.8,65.1,0.1,79.3,0.0
6.0,Gurugram,HARYANA,58.0,45.5,58.3,0.3,99.2,99.7,0.8,28.9,8.3,16.1,55.7,0.2,35.4,0.0
7.0,Hisar,HARYANA,85.4,61.8,19.1,1.5,99.5,99.6,0.5,22.5,5.4,132.9,26.2,1.9,68.8,0.0
8.0,Jhajjar,HARYANA,87.1,68.5,92.2,1.4,99.3,99.6,0.7,7.1,14.7,32.4,81.6,0.3,35.0,0.0
9.0,Jind,HARYANA,83.0,67.4,76.1,2.1,99.1,99.3,0.9,6.2,15.5,34.1,67.5,0.7,50.7,0.0
10.0,Kaithal,HARYANA,88.6,73.5,84.6,1.4,99.6,99.6,0.4,22.4,9.1,88.0,84.4,0.1,83.2,0.0
11.0,Karnal,HARYANA,87.0,81.0,75.2,0.8,99.8,99.8,0.2,12.2,13.7,78.3,73.6,0.5,87.8,94.7
12.0,Kurukshetra,HARYANA,87.9,65.2,76.6,4.6,99.9,99.9,0.1,24.2,5.5,79.9,75.0,0.1,120.6,0.0
13.0,Mahendragarh,HARYANA,77.2,87.9,92.5,4.7,98.7,99.1,1.3,24.9,2.3,114.6,75.0,0.2,53.8,100.0
14.0,Mewat,HARYANA,65.8,63.6,70.5,1.1,77.2,77.8,22.8,3.2,8.0,42.0,69.6,0.8,26.7,0.0
15.0,Palwal,HARYANA,64.6,70.4,100.4,0.6,82.0,83.6,18.0,9.2,2.5,53.8,101.9,0.0,32.3,0.0
16.0,Panchkula,HARYANA,70.3,60.5,87.4,5.8,99.2,99.2,0.8,29.5,24.1,18.9,82.5,0.3,111.3,0.0
17.0,Panipat,HARYANA,72.7,52.5,42.6,0.7,98.9,99.0,1.1,20.7,4.8,79.4,26.6,0.1,59.6,3.6
18.0,Rewari,HARYANA,80.7,60.7,66.1,1.9,99.9,99.9,0.1,21.4,1.1,121.1,67.4,0.0,77.9,100.0
19.0,Rohtak,HARYANA,74.9,75.8,82.7,0.9,99.6,99.7,0.4,23.0,4.0,20.3,82.8,0.0,77.5,0.0
20.0,Sirsa,HARYANA,85.9,69.7,39.7,0.9,99.8,99.8,0.2,33.7,8.7,60.3,86.2,0.0,34.3,0.0
21.0,Sonipat,HARYANA,80.2,65.5,86.4,1.4,99.8,99.8,0.2,9.5,3.7,88.8,70.5,5.0,41.6,0.0
22.0,Yamunanagar,HARYANA,79.3,67.9,64.5,3.5,98.8,98.8,1.2,28.7,10.6,51.2,63.1,0.0,90.5,0.0
