S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Himachal Pradesh,HIMACHAL PRADESH,86.8,66.2,80.2,1.7,91.2,92.7,8.8,24.4,6.5,47.7,76.9,1.4,63.6,100.0
1.0,Bilaspur,HIMACHAL PRADESH,93.4,71.4,90.0,1.0,93.3,94.2,6.7,25.7,3.9,94.1,90.4,0.3,65.1,0.0
2.0,Chamba,HIMACHAL PRADESH,80.9,60.0,71.6,0.9,56.8,70.1,43.2,18.2,1.7,93.5,65.3,0.6,57.9,100.0
3.0,Hamirpur,HIMACHAL PRADESH,92.8,80.9,118.3,1.0,99.5,99.6,0.5,22.3,5.7,83.1,117.4,9.0,92.3,0.0
4.0,Kangra,HIMACHAL PRADESH,87.0,59.4,73.5,1.9,97.8,98.2,2.2,29.6,1.6,30.2,66.1,0.5,32.1,0.0
5.0,Kinnaur,HIMACHAL PRADESH,71.5,61.6,74.8,0.6,85.6,93.2,14.4,23.9,21.2,0.0,74.8,0.9,50.2,0.0
6.0,Kullu,HIMACHAL PRADESH,97.6,76.0,63.2,0.7,92.3,93.3,7.7,19.9,15.0,25.0,78.4,0.2,70.6,100.0
7.0,Lahul Spiti,HIMACHAL PRADESH,71.4,44.6,83.9,0.0,100.0,100.0,0.0,0.0,0.0,0.0,73.2,0.0,67.9,0.0
8.0,Mandi,HIMACHAL PRADESH,93.3,67.6,79.8,1.8,89.2,89.3,10.8,23.4,6.9,50.7,78.4,0.4,47.9,0.0
9.0,Shimla,HIMACHAL PRADESH,73.8,72.8,75.5,3.7,96.4,96.4,3.6,21.9,11.0,53.6,69.1,3.9,104.5,100.0
10.0,Sirmaur,HIMACHAL PRADESH,90.7,67.6,72.1,2.3,87.2,87.4,12.8,14.8,6.6,57.1,64.7,0.6,80.1,100.0
11.0,Solan,HIMACHAL PRADESH,81.9,63.6,97.7,1.5,96.0,96.0,4.0,21.3,5.2,27.1,97.7,0.7,77.5,100.0
12.0,Una,HIMACHAL PRADESH,87.0,60.7,74.0,0.2,96.9,97.1,3.1,43.5,9.6,45.5,68.9,0.0,59.2,100.0
