S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Jharkhand,JHARKHAND,63.9,77.2,77.1,1.2,95.6,97.4,4.4,8.6,2.4,50.9,54.5,0.3,37.1,13.1
1.0,Bokaro,JHARKHAND,70.9,82.9,74.6,0.7,97.1,98.4,2.9,4.9,0.2,277.8,71.7,0.0,76.1,0.0
2.0,Chatra,JHARKHAND,51.3,80.1,81.6,1.4,94.2,97.8,5.8,0.0,0.2,0.0,52.9,0.0,13.4,0.0
3.0,Deoghar,JHARKHAND,68.5,77.0,88.9,0.4,96.0,98.0,4.0,13.4,2.5,40.5,70.4,0.0,46.4,0.0
4.0,Dhanbad,JHARKHAND,36.6,87.3,59.9,0.4,97.6,98.7,2.4,14.9,0.4,0.0,66.7,0.0,14.0,0.0
5.0,Dumka,JHARKHAND,78.2,87.6,81.2,1.4,96.3,97.3,3.7,2.7,3.0,14.5,47.6,0.0,47.2,0.0
6.0,Garhwa,JHARKHAND,47.8,62.8,111.2,1.7,98.2,98.5,1.8,0.9,1.7,47.2,42.9,0.0,5.9,0.0
7.0,Giridih,JHARKHAND,60.8,77.5,90.4,0.6,89.8,94.2,10.2,10.1,1.2,22.7,94.9,0.0,13.3,0.0
8.0,Godda,JHARKHAND,83.8,78.3,87.9,0.5,99.4,99.9,0.6,2.0,6.0,0.0,74.6,0.0,22.9,0.0
9.0,Gumla,JHARKHAND,60.7,64.2,75.1,2.2,89.6,91.5,10.4,6.2,10.0,32.5,64.0,0.1,91.1,0.0
10.0,Hazaribagh,JHARKHAND,71.7,74.0,96.7,0.6,98.4,99.2,1.6,10.9,3.8,42.0,84.8,3.1,27.9,0.0
11.0,Jamtara,JHARKHAND,65.0,89.0,88.6,1.1,98.9,99.1,1.1,0.8,0.6,0.0,76.9,0.0,33.3,0.0
12.0,Khunti,JHARKHAND,64.4,79.1,82.1,0.4,99.6,100.0,0.4,9.4,1.4,25.0,72.1,0.1,60.6,100.0
13.0,Kodarma,JHARKHAND,65.2,80.5,69.7,1.0,100.0,100.0,0.0,17.0,2.0,122.4,39.2,0.0,61.3,0.0
14.0,Latehar,JHARKHAND,58.9,69.6,72.3,1.5,94.4,95.9,5.6,0.5,6.9,5.7,35.6,0.0,41.9,0.0
15.0,Lohardaga,JHARKHAND,82.6,94.7,94.7,3.0,99.3,99.7,0.7,5.2,5.6,43.8,85.0,0.0,55.2,100.0
16.0,Pakur,JHARKHAND,58.2,85.9,66.5,0.7,87.7,92.7,12.3,1.2,0.6,0.0,62.8,0.0,38.8,0.0
17.0,Palamu,JHARKHAND,77.8,78.7,70.5,0.4,95.8,99.5,4.2,13.4,0.7,503.2,28.7,0.0,15.3,0.0
18.0,Pashchimi Singhbhum,JHARKHAND,50.3,70.1,84.1,1.0,86.3,90.1,13.7,3.7,2.9,74.6,40.7,0.0,17.0,0.0
19.0,Purbi Singhbhum,JHARKHAND,71.1,87.4,49.3,2.3,98.2,98.9,1.8,27.0,3.8,78.8,18.0,1.0,61.0,100.0
20.0,Ramgarh,JHARKHAND,73.6,90.6,89.1,1.5,97.9,98.6,2.1,8.7,2.6,1.9,70.5,0.0,31.4,0.0
21.0,Ranchi,JHARKHAND,60.2,59.7,54.6,2.3,98.0,98.5,2.0,12.6,1.5,186.2,25.3,0.9,16.5,0.0
22.0,Sahibganj,JHARKHAND,63.9,56.5,73.0,0.7,94.0,97.5,6.0,5.3,5.9,10.4,28.6,0.0,102.6,0.0
23.0,Saraikela,JHARKHAND,73.2,88.9,80.3,1.6,95.2,95.9,4.8,2.0,1.3,0.0,52.2,0.0,31.5,100.0
24.0,Simdega,JHARKHAND,65.3,79.4,95.7,4.1,96.3,97.5,3.7,0.7,2.4,88.1,82.3,0.0,106.7,100.0
