S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Karnataka,KARNATAKA,78.2,95.4,108.5,4.4,99.9,99.9,0.1,31.0,6.1,58.3,100.1,1.2,78.6,17.3
1.0,Bagalkote,KARNATAKA,77.8,88.0,70.8,0.8,100.0,100.0,0.0,31.2,2.5,43.9,63.2,0.0,45.6,0.0
2.0,Bangalore Rural,KARNATAKA,86.2,95.6,85.5,2.5,100.0,100.0,0.0,46.4,2.3,100.0,81.0,0.7,83.7,0.0
3.0,Bangalore Urban,KARNATAKA,60.7,90.8,91.1,4.8,100.0,100.0,0.0,28.0,5.6,28.4,93.9,1.6,66.7,14.9
4.0,Belgaum,KARNATAKA,86.5,92.9,115.1,4.1,100.0,100.0,0.0,33.1,2.0,181.9,108.8,0.2,70.1,0.0
5.0,Bellary,KARNATAKA,89.4,100.0,106.0,3.6,99.9,99.9,0.1,29.1,8.8,55.5,95.1,2.7,89.9,44.4
6.0,Bidar,KARNATAKA,73.8,95.3,91.8,3.1,100.0,100.0,0.0,19.8,6.7,50.2,78.6,0.5,60.3,0.0
7.0,Bijapur,KARNATAKA,85.9,88.5,86.9,1.4,100.0,100.0,0.0,17.0,4.5,25.8,84.9,0.7,71.9,0.0
8.0,Chamrajnagar,KARNATAKA,88.8,74.9,85.1,1.2,99.9,100.0,0.1,31.4,0.4,0.0,83.7,0.1,51.8,100.0
9.0,Chikkaballapur,KARNATAKA,91.2,97.5,98.7,1.9,99.9,99.9,0.1,44.0,3.7,308.0,98.5,0.1,111.6,0.0
10.0,Chikmagalur,KARNATAKA,84.8,130.0,115.8,3.0,99.8,99.9,0.2,50.1,2.1,207.8,109.8,0.6,74.1,0.0
11.0,Chitradurga,KARNATAKA,82.2,90.1,101.0,1.4,99.8,99.9,0.2,45.4,0.3,2407.7,80.9,0.0,85.2,0.0
12.0,Dakshina Kannada,KARNATAKA,71.8,86.3,119.7,5.1,100.0,100.0,0.0,34.6,8.7,19.8,102.5,4.8,109.9,100.0
13.0,Davanagere,KARNATAKA,80.0,81.9,120.4,6.7,99.9,99.9,0.1,23.5,3.2,228.4,95.6,0.1,89.2,11.1
14.0,Dharwad,KARNATAKA,84.6,97.1,101.5,9.9,100.0,100.0,0.0,35.2,4.4,111.7,96.0,3.1,67.0,0.0
15.0,Gadag,KARNATAKA,98.1,97.8,98.1,4.1,99.9,100.0,0.1,32.9,5.0,59.6,96.3,0.2,107.1,100.0
16.0,Gulbarga,KARNATAKA,72.2,99.9,129.6,4.5,99.9,99.9,0.1,26.6,6.1,64.2,122.6,0.8,96.9,89.1
17.0,Hassan,KARNATAKA,79.5,106.8,115.6,5.6,99.8,99.8,0.2,40.4,4.1,121.4,99.2,0.9,78.4,50.0
18.0,Haveri,KARNATAKA,89.9,98.7,90.1,1.3,99.9,99.9,0.1,29.4,0.8,461.0,79.9,0.3,39.3,0.0
19.0,Kodagu,KARNATAKA,84.5,120.1,107.5,2.9,99.7,99.9,0.3,26.3,3.2,4.3,104.4,1.4,116.4,47.6
20.0,Kolar,KARNATAKA,82.7,118.1,143.3,3.5,99.9,99.9,0.1,45.1,11.9,6.4,139.6,4.7,106.1,88.7
21.0,Koppal,KARNATAKA,92.0,120.6,99.8,6.2,99.7,99.8,0.3,21.9,17.1,31.1,87.9,0.0,132.9,50.0
22.0,Mandya,KARNATAKA,80.7,78.7,105.4,10.8,99.9,100.0,0.1,38.1,0.7,153.3,79.4,1.4,68.1,0.0
23.0,Mysore,KARNATAKA,83.5,97.5,110.8,5.1,100.0,100.0,0.0,39.1,15.9,64.5,99.6,0.9,76.8,2.8
24.0,Raichur,KARNATAKA,94.7,97.8,119.2,4.5,99.8,99.9,0.2,15.7,8.5,47.1,109.1,1.0,64.7,0.0
25.0,Ramanagar,KARNATAKA,81.5,92.3,106.6,4.9,100.0,100.0,0.0,31.2,1.2,188.0,92.0,1.5,87.3,0.0
26.0,Shimoga,KARNATAKA,85.6,122.6,110.3,2.2,99.9,100.0,0.1,42.7,0.8,605.8,109.0,0.1,117.2,66.7
27.0,Tumkur,KARNATAKA,82.0,87.9,94.5,2.2,99.9,99.9,0.1,54.3,19.8,12.4,93.9,0.0,97.0,28.6
28.0,Udupi,KARNATAKA,99.1,81.1,101.9,14.9,100.0,100.0,0.0,54.2,2.5,25.8,97.9,6.8,97.4,0.0
29.0,Uttara Kannada,KARNATAKA,78.8,112.6,167.5,5.3,99.9,100.0,0.1,32.6,4.9,39.5,137.6,2.3,99.3,16.7
30.0,Yadgir,KARNATAKA,66.6,98.3,267.2,4.7,99.5,99.6,0.5,2.4,3.7,82.2,201.3,0.1,78.1,0.0
