S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Kerala,KERALA,81.3,100.7,101.7,3.5,99.9,99.9,0.1,39.8,2.6,27.8,66.2,2.5,33.3,5.0
1.0,Alappuzha,KERALA,84.8,151.7,151.0,3.3,100.0,100.0,0.0,51.3,0.6,29.6,118.6,1.8,26.2,0.0
2.0,Ernakulam,KERALA,78.5,80.8,91.9,4.2,100.0,100.0,0.0,49.9,1.4,45.8,67.7,6.3,49.9,100.0
3.0,Idukki,KERALA,88.1,124.3,135.9,4.0,99.7,99.8,0.3,49.9,0.0,200.0,84.4,1.5,110.8,0.0
4.0,KOZHIKKODE,KERALA,89.0,90.9,134.4,1.9,100.0,100.0,0.0,34.8,1.9,32.3,99.3,2.9,13.8,0.0
5.0,Kannur,KERALA,80.3,85.6,95.9,1.3,100.0,100.0,0.0,41.7,0.5,58.8,33.6,0.8,31.4,0.0
6.0,Kasaragod,KERALA,85.1,121.9,158.8,1.5,99.8,99.9,0.2,24.5,0.0,4000.0,134.7,0.5,29.8,0.0
7.0,Kollam,KERALA,88.2,126.3,128.1,2.8,100.0,100.0,0.0,52.5,0.3,58.3,79.9,3.0,52.4,0.0
8.0,Kottayam,KERALA,82.8,126.0,136.2,4.3,100.0,100.0,0.0,45.7,0.9,46.3,70.8,8.6,51.0,0.0
9.0,Malappuram,KERALA,80.7,91.7,22.6,4.2,99.8,99.9,0.2,30.3,2.0,39.2,4.9,1.0,10.7,50.0
10.0,Palakkad,KERALA,84.9,94.9,104.1,2.7,99.9,99.9,0.1,34.0,0.7,218.5,51.1,0.9,19.3,0.0
11.0,Pathanamthitta,KERALA,77.3,116.5,179.4,4.2,99.9,99.9,0.1,53.2,1.3,55.3,160.9,4.3,40.6,0.0
12.0,Thiruvananthapuram,KERALA,69.2,73.4,132.8,5.8,100.0,100.0,0.0,44.2,17.7,5.8,115.0,3.3,60.0,0.0
13.0,Thrissur,KERALA,79.8,137.0,71.9,2.9,100.0,100.0,0.0,42.0,0.6,51.4,18.5,3.1,20.5,0.0
14.0,Wayanad,KERALA,93.1,88.8,83.6,2.5,99.7,99.7,0.3,36.4,0.9,256.3,26.7,0.3,28.9,0.0
