S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Madhya Pradesh,MADHYA PRADESH,67.7,74.9,91.1,2.0,96.0,96.4,4.0,11.0,10.3,43.9,77.2,0.4,42.9,127.0
1.0,Agar Malwa,MADHYA PRADESH,76.1,78.4,95.6,2.3,99.8,99.8,0.2,2.4,1.0,27.3,67.7,0.0,81.5,0.0
2.0,Alirajpur,MADHYA PRADESH,51.1,54.3,92.5,2.2,84.7,84.7,15.3,0.0,1.6,83.0,78.1,0.0,15.8,0.0
3.0,Anuppur,MADHYA PRADESH,78.8,70.3,96.1,1.7,93.7,95.6,6.3,3.8,9.3,97.5,86.3,1.4,10.7,0.0
4.0,Ashok Nagar,MADHYA PRADESH,58.6,84.5,92.2,2.3,98.2,98.2,1.8,1.9,8.7,23.6,61.7,0.0,46.0,0.0
5.0,Balaghat,MADHYA PRADESH,70.6,71.3,96.0,2.2,96.6,96.6,3.4,18.8,8.7,9.2,48.8,6.0,46.3,0.0
6.0,Barwani,MADHYA PRADESH,69.1,76.1,79.7,1.8,81.3,81.7,18.7,6.7,13.9,68.2,53.5,0.0,25.9,0.0
7.0,Betul,MADHYA PRADESH,78.7,77.0,89.7,1.7,93.7,93.7,6.3,8.4,8.5,37.2,87.9,3.5,44.2,0.0
8.0,Bhind,MADHYA PRADESH,61.1,66.8,89.5,1.1,98.2,98.3,1.8,3.6,8.8,64.7,87.1,0.0,49.9,100.0
9.0,Bhopal,MADHYA PRADESH,71.1,119.4,111.0,5.5,99.2,99.2,0.8,34.9,21.4,27.8,98.5,0.0,72.5,85.2
10.0,Burhanpur,MADHYA PRADESH,50.3,59.4,88.3,0.8,93.2,93.2,6.8,13.8,6.0,35.8,87.2,0.0,22.1,0.0
11.0,Chhatarpur,MADHYA PRADESH,66.1,73.4,97.5,1.9,95.2,97.3,4.8,8.7,7.7,57.1,97.5,0.0,20.6,100.0
12.0,Chhindwada,MADHYA PRADESH,75.9,70.9,82.9,1.4,98.0,98.0,2.0,17.2,12.3,51.7,72.6,0.0,50.7,0.0
13.0,Damoh,MADHYA PRADESH,63.0,57.7,82.4,1.0,97.6,99.8,2.4,6.0,4.7,89.6,80.5,0.0,46.5,100.0
14.0,Datia,MADHYA PRADESH,49.6,104.1,95.6,1.0,95.7,95.7,4.3,6.3,21.3,46.2,91.2,0.0,64.7,100.0
15.0,Dewas,MADHYA PRADESH,76.1,60.9,88.7,0.8,99.1,99.2,0.9,12.2,10.2,23.0,85.6,0.0,63.5,0.0
16.0,Dhar,MADHYA PRADESH,66.9,72.5,90.4,0.6,94.3,94.5,5.7,3.4,6.4,60.3,76.2,0.0,51.5,0.0
17.0,Dindori,MADHYA PRADESH,85.2,70.1,83.9,1.3,92.0,93.3,8.0,0.1,7.4,19.3,73.3,0.0,80.4,100.0
18.0,Guna,MADHYA PRADESH,63.4,70.5,95.0,1.0,96.8,97.2,3.2,6.8,9.0,70.6,93.2,0.0,16.9,0.0
19.0,Gwalior,MADHYA PRADESH,43.9,64.4,92.3,3.2,98.5,98.6,1.5,29.3,5.0,150.9,79.9,0.0,31.5,0.0
