S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Maharashtra,MAHARASHTRA,85.1,91.6,94.0,2.0,99.4,99.6,0.6,22.6,6.8,32.0,89.5,0.3,39.0,75.0
1.0,Ahmadnagar,MAHARASHTRA,89.7,97.0,99.1,1.4,99.9,100.0,0.1,13.1,4.0,28.1,95.9,0.2,24.3,100.0
2.0,Akola,MAHARASHTRA,91.1,90.8,96.8,3.3,99.9,100.0,0.1,39.9,54.6,11.4,80.5,0.0,25.6,0.0
3.0,Amravati,MAHARASHTRA,82.7,82.0,89.5,1.2,96.9,98.3,3.1,36.1,18.5,34.8,77.8,0.2,57.8,0.0
4.0,Aurangabad,MAHARASHTRA,90.1,100.0,100.0,1.3,99.9,100.0,0.1,16.6,9.6,19.1,100.0,0.0,24.3,0.0
5.0,Bhandara,MAHARASHTRA,92.7,106.8,98.3,8.6,99.8,99.9,0.2,49.4,27.6,40.8,99.3,0.0,35.6,0.0
6.0,Bid,MAHARASHTRA,89.7,85.3,93.3,1.1,100.0,100.0,0.0,24.5,4.8,32.9,89.4,0.0,34.7,0.0
7.0,Brihan Mumbai,MAHARASHTRA,55.5,74.9,79.7,3.7,100.0,100.0,0.0,29.7,7.0,35.0,77.3,1.1,120.3,92.0
8.0,Buldana,MAHARASHTRA,87.4,93.5,97.3,1.9,99.7,100.0,0.3,11.6,4.4,37.6,50.9,0.0,4.6,0.0
9.0,Chandrapur,MAHARASHTRA,89.3,106.8,103.8,2.7,99.4,99.9,0.6,31.7,21.3,6.1,103.7,0.1,61.9,0.0
10.0,Dhule,MAHARASHTRA,87.1,85.8,95.3,0.4,99.7,100.0,0.3,13.1,4.9,98.6,96.5,0.0,28.2,0.0
11.0,Gadchiroli,MAHARASHTRA,90.0,87.5,88.4,5.5,94.6,99.3,5.4,19.8,22.0,41.8,88.4,0.0,32.9,0.0
