S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Manipur,MANIPUR,60.1,44.2,38.4,0.6,82.6,92.0,17.4,34.1,1.6,90.3,17.2,0.1,24.3,0.0
1.0,Bishnupur,MANIPUR,70.8,86.8,37.4,2.3,93.9,96.1,6.1,11.3,10.6,0.0,8.2,0.1,43.9,0.0
2.0,Chandel,MANIPUR,51.9,36.0,49.6,0.4,46.0,96.9,54.0,5.4,0.0,0.0,24.7,0.2,42.0,0.0
3.0,Churachandpur,MANIPUR,68.3,28.5,63.2,1.2,86.5,90.3,13.5,23.6,12.4,100.0,50.9,0.0,15.6,0.0
4.0,Imphal East,MANIPUR,68.6,37.1,35.7,0.2,99.0,99.9,1.0,43.5,0.1,0.0,8.0,0.0,5.4,0.0
5.0,Imphal West,MANIPUR,78.4,90.1,39.2,1.1,99.1,99.8,0.9,43.1,0.2,185.7,15.2,0.0,33.8,0.0
6.0,Senapati,MANIPUR,31.8,30.6,31.5,0.0,36.2,74.7,63.8,4.7,0.0,0.0,18.4,0.2,14.7,0.0
7.0,Tamenglong,MANIPUR,50.4,41.7,36.1,0.3,58.2,68.7,41.8,8.1,0.0,0.0,10.4,0.0,28.7,0.0
8.0,Thoubal,MANIPUR,70.5,13.7,42.1,0.1,81.6,89.2,18.4,25.8,0.0,0.0,17.2,0.0,24.8,0.0
9.0,Ukhrul,MANIPUR,37.8,22.8,18.2,0.1,66.7,80.3,33.3,13.4,0.0,0.0,6.0,0.0,35.2,0.0
