S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Meghalaya,MEGHALAYA,35.0,40.4,39.8,2.7,58.0,59.8,42.0,15.9,10.1,9.5,32.8,0.3,43.8,47.1
1.0,East Garo Hills,MEGHALAYA,35.7,50.9,62.8,1.5,33.3,35.6,66.7,0.2,3.8,0.0,49.7,0.0,44.8,0.0
2.0,East Jaintia Hills,MEGHALAYA,33.8,20.2,34.7,3.2,41.3,46.3,58.7,0.0,14.8,0.0,32.0,0.0,80.7,79.4
3.0,East Khasi Hills,MEGHALAYA,32.5,33.9,28.8,1.2,77.9,78.2,22.1,29.2,11.8,0.3,22.9,0.5,32.3,50.0
4.0,North Garo Hills,MEGHALAYA,39.6,46.7,37.3,1.7,47.6,53.3,52.4,0.0,0.5,0.0,40.3,0.0,33.4,1.5
5.0,Ri Bhoi,MEGHALAYA,45.8,59.0,33.5,2.6,45.1,46.6,54.9,3.3,10.6,2.0,27.1,1.0,63.7,75.0
6.0,South Garo Hills,MEGHALAYA,30.9,37.5,87.0,0.3,32.4,34.2,67.6,0.0,0.7,0.0,82.2,0.0,38.2,0.0
7.0,South West Garo Hills,MEGHALAYA,54.4,63.9,57.3,3.3,67.4,70.6,32.6,0.0,10.1,10.0,45.8,0.0,47.8,0.0
8.0,South West Khasi Hills,MEGHALAYA,25.8,42.2,51.3,5.3,26.8,27.2,73.2,0.0,18.7,0.0,34.2,0.0,46.4,0.0
9.0,West Garo Hills,MEGHALAYA,35.7,51.4,78.1,4.5,56.9,57.4,43.1,12.7,14.1,36.5,62.7,0.0,37.4,100.0
10.0,West Jaintia Hills,MEGHALAYA,32.5,17.4,26.9,4.1,58.8,59.8,41.2,11.7,1.7,56.5,14.8,0.0,50.2,66.7
11.0,West Khasi Hills,MEGHALAYA,34.8,58.8,24.9,5.6,46.5,52.0,53.5,5.6,14.5,0.0,30.2,0.0,72.8,76.2
