S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Mizoram,MIZORAM,74.8,53.3,32.1,4.0,88.6,91.3,11.4,18.0,5.1,22.2,30.2,0.3,43.6,27.3
1.0,Aizawl East,MIZORAM,76.5,112.1,36.6,0.4,99.0,99.5,1.0,24.3,0.0,0.0,42.1,0.2,16.4,0.0
2.0,Aizawl West,MIZORAM,80.4,42.6,11.7,18.3,99.9,99.9,0.1,29.8,9.9,5.4,8.7,1.5,11.8,0.0
3.0,Champhai,MIZORAM,85.7,43.4,24.7,2.2,96.4,97.6,3.6,0.7,1.3,66.7,32.9,0.0,109.2,100.0
4.0,Kolasib,MIZORAM,77.3,44.7,38.7,0.9,94.7,98.5,5.3,5.2,3.8,50.0,34.9,0.0,34.5,0.0
5.0,Lawngtlai,MIZORAM,50.4,28.7,43.0,0.7,56.1,61.4,43.9,8.3,0.2,0.0,30.3,0.0,40.8,100.0
6.0,Lunglei,MIZORAM,69.3,43.2,39.4,2.8,82.1,87.7,17.9,17.6,2.8,94.4,32.5,0.0,47.6,0.0
7.0,Mamit,MIZORAM,70.4,33.2,28.9,0.4,67.1,72.9,32.9,1.5,5.8,29.4,29.3,0.0,53.5,0.0
8.0,Saiha,MIZORAM,79.1,34.8,59.3,0.7,78.0,84.6,22.0,8.5,9.3,42.9,50.8,0.0,44.3,0.0
9.0,Serchhip,MIZORAM,82.6,22.8,10.2,4.5,97.4,100.0,2.6,4.0,5.2,0.0,1.5,0.0,95.8,0.0
