S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Nagaland,NAGALAND,28.5,19.4,19.2,1.2,81.6,92.0,18.4,17.7,1.4,47.5,9.5,0,39.4,69.6
1.0,Dimapur,NAGALAND,30.7,17.6,9.4,1.7,93.8,97.7,6.2,29.5,1.6,24.0,5.1,0,36.5,0.0
2.0,Kiphire,NAGALAND,24.9,17.7,13.4,0.4,66.1,77.0,33.9,0.0,0.0,0.0,3.2,0,57.8,0.0
3.0,Kohima,NAGALAND,28.4,65.5,28.0,1.9,95.8,97.7,4.2,16.8,0.0,0.0,23.5,0,27.9,100.0
4.0,Longleng,NAGALAND,37.4,19.5,66.3,2.1,71.3,88.0,28.7,0.0,0.0,0.0,17.9,0,67.9,0.0
5.0,Mokokchung,NAGALAND,39.3,5.9,7.9,0.7,85.0,99.5,15.0,24.0,5.8,100.0,4.0,0,74.7,100.0
6.0,Mon,NAGALAND,21.7,5.9,30.7,0.6,57.4,71.0,42.6,2.2,0.0,0.0,6.9,0,19.1,100.0
7.0,Peren,NAGALAND,18.3,10.9,35.3,0.0,82.1,87.4,17.9,5.8,0.0,0.0,31.5,0,69.8,100.0
8.0,Phek,NAGALAND,22.1,8.8,62.3,0.0,51.0,92.7,49.0,4.8,0.3,0.0,38.2,0,43.3,100.0
9.0,Tuensang,NAGALAND,19.2,3.1,24.0,0.0,73.3,93.9,26.7,6.7,6.7,47.8,2.5,0,58.3,50.0
10.0,Wokha,NAGALAND,40.2,23.8,28.6,0.6,83.9,89.8,16.1,5.8,0.0,0.0,1.3,0,48.9,0.0
11.0,Zunheboto,NAGALAND,22.4,17.0,6.1,0.0,77.1,97.4,22.9,11.5,0.0,0.0,0.0,0,16.3,0.0
