S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Odisha,ODISHA,85.6,74.5,80.2,1.6,96.8,98.1,3.2,23.0,10.3,37.8,57.1,0.2,56.5,33.7
1.0,Anugul,ODISHA,85.2,67.2,76.9,0.5,97.4,98.2,2.6,18.1,7.2,44.6,60.5,0.0,40.6,0.0
2.0,Balangir,ODISHA,87.5,73.0,80.6,1.7,98.2,99.7,1.8,25.3,14.9,25.3,61.6,0.0,63.9,0.0
3.0,Baleshwar,ODISHA,83.1,72.8,78.3,0.6,97.9,98.1,2.1,25.2,27.3,13.5,56.2,0.1,54.8,0.0
4.0,Bargarh,ODISHA,89.2,63.1,83.6,0.9,99.4,99.8,0.6,42.8,15.3,73.5,52.0,0.1,26.9,100.0
5.0,Baudh,ODISHA,94.8,77.6,91.6,1.0,96.9,98.1,3.1,6.6,15.3,25.4,72.0,0.2,70.2,100.0
6.0,Bhadrak,ODISHA,89.5,86.0,88.3,0.5,99.2,99.7,0.8,38.0,14.4,18.9,41.4,0.0,74.4,0.0
7.0,Cuttack,ODISHA,80.6,74.4,81.6,0.7,99.6,99.6,0.4,26.1,7.1,73.5,63.9,0.0,32.3,0.0
8.0,Deogarh,ODISHA,90.4,84.7,92.1,1.0,95.3,98.8,4.7,7.3,10.9,12.5,76.3,0.0,81.3,0.0
9.0,Dhenkanal,ODISHA,90.0,93.7,91.2,1.0,97.6,99.8,2.4,31.7,2.7,52.7,65.4,0.0,23.3,100.0
10.0,Gajapati,ODISHA,75.1,70.7,80.3,0.9,81.3,91.0,18.7,15.7,4.1,86.8,35.7,0.0,73.0,0.0
11.0,Ganjam,ODISHA,80.0,53.5,67.0,1.8,98.6,99.1,1.4,22.4,5.2,16.1,52.1,0.3,88.6,0.0
12.0,Jagatsinghpur,ODISHA,82.9,74.3,75.7,0.5,99.8,100.0,0.2,41.1,3.9,39.8,22.1,0.0,43.6,0.0
13.0,Jajapur,ODISHA,84.7,71.6,97.5,0.2,98.4,99.4,1.6,23.6,7.2,36.3,88.7,0.0,26.9,0.0
14.0,Jharsuguda,ODISHA,83.8,60.0,64.4,1.3,99.6,99.8,0.4,32.5,7.8,79.7,49.4,0.0,26.2,0.0
15.0,Kalahandi,ODISHA,91.7,79.2,76.2,3.7,90.7,96.8,9.3,12.4,11.8,51.7,64.2,0.1,46.1,50.0
16.0,Kandhamal,ODISHA,91.1,88.2,92.8,2.4,97.6,98.1,2.4,4.2,16.9,31.0,82.2,0.0,110.8,38.5
17.0,Kendrapara,ODISHA,81.5,68.1,73.4,0.8,99.6,100.0,0.4,21.2,3.4,64.1,46.8,0.0,40.2,0.0
18.0,Keonjhar,ODISHA,84.9,83.1,91.5,2.8,96.6,98.2,3.4,16.6,12.0,35.6,71.3,0.3,67.8,100.0
19.0,Khordha,ODISHA,73.4,76.9,78.0,1.9,99.3,99.5,0.7,47.5,3.5,70.0,64.5,1.0,82.9,81.8
20.0,Koraput,ODISHA,96.0,89.4,86.2,1.2,97.3,99.3,2.7,10.0,12.2,50.9,67.4,0.0,55.6,26.9
21.0,Malkangiri,ODISHA,88.6,68.4,74.2,1.2,89.9,91.3,10.1,9.1,8.5,49.6,66.8,0.0,48.8,50.0
22.0,Mayurbhanj,ODISHA,87.3,73.1,67.8,4.2,99.0,99.2,1.0,13.6,8.3,27.6,35.3,0.5,55.3,0.0
23.0,Nabarangapur,ODISHA,84.0,74.2,84.4,2.0,90.4,92.2,9.6,7.7,13.4,53.0,63.2,0.0,71.0,26.7
24.0,Nayagarh,ODISHA,91.5,73.7,83.9,0.3,98.6,98.8,1.4,28.6,21.9,21.5,30.2,0.4,74.7,0.0
25.0,Nuapada,ODISHA,79.0,75.5,79.0,2.3,91.5,95.5,8.5,13.1,6.8,87.1,60.5,0.1,5.0,0.0
26.0,Puri,ODISHA,86.9,82.5,80.8,2.2,99.4,99.4,0.6,25.0,2.5,84.6,73.2,0.0,32.9,0.0
27.0,Rayagada,ODISHA,87.2,77.7,87.3,2.6,84.1,89.7,15.9,13.8,18.0,17.3,78.6,0.1,90.0,0.0
28.0,Sambalpur,ODISHA,93.9,81.3,78.2,0.7,99.8,99.8,0.2,31.7,6.1,64.4,50.2,0.0,36.8,0.0
29.0,Sonapur,ODISHA,92.0,66.1,84.6,0.7,98.8,99.4,1.2,13.9,26.2,38.0,32.4,0.1,68.4,0.0
30.0,Sundargarh,ODISHA,89.1,81.0,75.2,2.1,98.6,98.7,1.4,26.9,11.0,42.6,20.3,0.0,38.5,0.0
