S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Punjab,PUNJAB,80.5,66.8,62.8,1.8,98.2,98.9,1.8,39.1,12.3,55.3,49.9,0.1,66.9,55.6
1.0,Amritsar,PUNJAB,83.4,56.0,30.2,1.8,98.0,98.7,2.0,36.6,2.3,500.0,21.6,0.0,61.5,100.0
2.0,Barnala,PUNJAB,83.9,57.7,86.9,1.0,99.7,99.9,0.3,26.9,6.3,100.0,70.2,0.0,103.3,100.0
3.0,Bathinda,PUNJAB,83.5,60.5,61.6,4.1,96.3,97.2,3.7,36.4,6.3,81.7,39.7,0.0,91.2,100.0
4.0,Faridkot,PUNJAB,83.3,65.0,69.8,2.4,97.5,98.1,2.5,34.6,26.5,42.8,52.3,0.1,54.9,0.0
5.0,Fatehgarh Sahib,PUNJAB,73.9,74.1,79.9,1.0,96.5,97.9,3.5,33.3,3.9,77.1,51.0,0.0,45.1,0.0
6.0,Fazilka,PUNJAB,79.9,53.7,67.4,1.5,96.5,97.1,3.5,31.5,4.1,86.0,40.6,0.0,36.9,0.0
7.0,Firozpur,PUNJAB,82.6,66.6,73.0,1.5,95.2,95.6,4.8,37.4,1.7,217.2,56.2,0.0,46.5,0.0
8.0,Gurdaspur,PUNJAB,81.9,50.1,71.8,0.4,98.6,99.0,1.4,56.9,11.5,65.0,36.8,0.0,45.8,0.0
9.0,Hoshiarpur,PUNJAB,79.7,61.5,49.2,1.7,99.6,99.7,0.4,44.3,8.1,94.6,38.0,0.0,92.9,100.0
10.0,Jalandhar,PUNJAB,76.4,77.9,65.4,3.7,99.4,99.9,0.6,45.5,10.6,52.1,63.3,0.1,58.8,0.0
11.0,Kapurthala,PUNJAB,78.4,66.5,9.9,0.8,99.1,99.4,0.9,46.6,56.3,27.7,0.7,0.0,94.2,100.0
12.0,Ludhiana,PUNJAB,70.8,76.5,76.8,0.8,96.7,98.7,3.3,35.8,11.1,56.2,71.0,0.0,41.6,100.0
13.0,Mansa,PUNJAB,85.4,65.9,81.3,0.8,98.5,99.1,1.5,23.9,0.7,53.8,78.8,0.0,41.1,100.0
14.0,Moga,PUNJAB,82.4,72.2,73.4,1.0,98.2,98.7,1.8,36.0,21.0,24.4,57.9,0.0,73.1,0.0
15.0,Mohali SAS Nagar,PUNJAB,71.7,68.5,78.6,1.0,96.9,99.4,3.1,38.0,12.0,45.4,54.8,0.8,74.7,20.0
16.0,Muktsar,PUNJAB,84.3,59.9,74.6,3.5,98.9,99.1,1.1,29.3,17.6,74.4,68.9,0.0,81.9,46.2
17.0,Nawanshahr,PUNJAB,92.0,66.7,61.0,0.8,99.9,99.9,0.1,49.8,19.7,2.4,32.2,0.0,58.6,0.0
18.0,Pathankot,PUNJAB,90.6,69.9,80.4,1.5,99.2,99.2,0.8,55.7,5.7,93.1,66.4,0.0,84.8,0.0
19.0,Patiala,PUNJAB,82.7,91.3,82.3,4.1,99.9,100.0,0.1,38.3,20.5,19.4,67.1,0.0,82.2,0.0
20.0,Rupnagar,PUNJAB,83.0,65.8,24.7,1.7,99.7,99.8,0.3,35.9,28.7,23.7,14.9,0.0,89.3,0.0
21.0,Sangrur,PUNJAB,85.2,67.9,80.2,0.8,99.8,100.0,0.2,40.8,7.2,69.8,80.8,0.0,95.2,50.0
22.0,Tarn Taran,PUNJAB,88.8,48.6,5.2,1.3,97.2,97.9,2.8,32.8,20.7,67.5,0.1,0.0,81.8,0.0
