S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Rajasthan,RAJASTHAN,69.5,56.6,65.1,1.5,98.2,98.8,1.8,12.1,9.7,36.8,59.4,0.2,51.9,58.0
1.0,Ajmer,RAJASTHAN,66.7,55.7,92.4,2.2,99.1,99.3,0.9,18.1,24.1,55.4,59.3,0.0,82.2,100.0
2.0,Alwar,RAJASTHAN,57.8,47.0,60.0,1.1,95.6,98.4,4.4,8.7,12.6,74.5,22.6,0.0,70.6,0.0
3.0,Banswara,RAJASTHAN,74.1,62.2,53.2,1.6,99.1,99.5,0.9,5.5,12.5,19.2,60.1,0.0,60.9,13.7
4.0,Baran,RAJASTHAN,81.9,72.8,74.8,1.5,99.5,99.7,0.5,7.7,12.0,38.8,66.2,0.0,48.5,0.0
5.0,Barmer,RAJASTHAN,61.8,47.5,59.0,0.4,95.2,96.5,4.8,4.9,5.2,29.9,37.9,0.0,28.1,0.0
6.0,Bharatpur,RAJASTHAN,63.7,50.4,57.5,0.6,97.1,99.1,2.9,8.3,2.8,57.6,42.5,0.0,30.9,50.0
7.0,Bhilwara,RAJASTHAN,85.0,61.4,69.8,0.8,99.8,99.9,0.2,10.1,4.1,31.8,51.3,0.0,47.2,8.7
8.0,Bikaner,RAJASTHAN,47.4,49.3,52.7,3.0,98.6,98.6,1.4,11.3,4.6,46.0,70.5,0.1,36.7,571.4
9.0,Bundi,RAJASTHAN,76.9,68.0,55.1,2.2,99.9,99.9,0.1,7.4,28.9,71.4,66.1,0.0,53.2,100.0
10.0,Chittaurgarh,RAJASTHAN,78.3,59.2,46.7,0.7,99.1,99.2,0.9,10.0,9.0,37.4,78.7,0.0,71.7,100.0
11.0,Churu,RAJASTHAN,73.1,57.7,30.9,0.3,97.6,97.6,2.4,4.1,4.4,52.8,59.2,0.0,22.4,129.4
12.0,Dausa,RAJASTHAN,70.8,51.2,76.4,1.0,99.7,99.8,0.3,3.6,4.6,90.7,47.8,0.0,32.4,0.0
13.0,Dhaulpur,RAJASTHAN,75.1,72.3,40.3,0.4,97.6,99.4,2.4,4.5,12.7,71.9,85.2,0.0,61.3,0.0
14.0,Dungarpur,RAJASTHAN,71.6,48.9,35.2,2.1,95.9,96.8,4.1,5.8,2.8,10.9,67.3,0.0,50.0,187.7
15.0,Ganganagar,RAJASTHAN,84.4,61.0,85.9,1.8,98.8,98.9,1.2,10.6,12.1,32.6,73.5,0.0,67.8,33.3
16.0,Hanumangarh,RAJASTHAN,80.8,68.4,160.6,0.5,99.1,99.2,0.9,10.4,6.9,80.8,112.5,5.0,97.7,100.0
17.0,Jaipur,RAJASTHAN,70.4,55.2,85.0,3.4,99.8,99.9,0.2,29.6,18.8,16.7,73.9,0.9,60.6,171.9
18.0,Jaisalmer,RAJASTHAN,61.2,53.7,54.6,0.6,95.2,97.0,4.8,1.9,1.1,57.4,56.8,0.7,32.6,0.0
19.0,Jalor,RAJASTHAN,69.3,48.7,46.1,0.7,97.5,98.8,2.5,6.2,5.4,21.8,38.0,0.0,27.2,52.9
20.0,Jhalawar,RAJASTHAN,81.0,65.3,91.1,2.5,99.9,99.9,0.1,15.5,16.7,38.4,51.6,0.0,78.9,100.0
21.0,Jhunjhunun,RAJASTHAN,80.2,64.3,125.4,0.4,99.9,100.0,0.1,14.5,5.1,13.0,85.7,0.0,103.8,0.0
22.0,Jodhpur,RAJASTHAN,62.0,58.7,55.0,4.0,96.2,96.7,3.8,18.3,8.9,13.4,45.2,0.0,30.0,320.0
23.0,Karauli,RAJASTHAN,81.5,71.4,50.9,0.5,98.3,100.0,1.7,8.8,7.4,59.2,60.9,0.0,44.7,100.0
24.0,Kota,RAJASTHAN,69.6,43.0,77.1,0.8,99.2,99.4,0.8,27.3,4.9,25.8,66.0,0.0,52.2,600.0
25.0,Nagaur,RAJASTHAN,76.7,56.8,32.0,0.7,98.9,99.1,1.1,11.1,2.4,49.8,59.6,0.1,64.0,34.6
26.0,Pali,RAJASTHAN,63.1,54.1,53.3,0.3,98.9,99.1,1.1,12.2,3.8,23.4,49.0,0.0,59.5,6.9
27.0,Pratapgarh,RAJASTHAN,56.7,42.9,70.6,1.4,98.9,99.3,1.1,0.7,4.6,13.6,75.4,0.0,57.5,95.8
28.0,Rajsamand,RAJASTHAN,72.4,64.4,35.3,0.7,95.2,96.9,4.8,1.6,8.5,26.0,76.7,0.0,48.5,100.0
29.0,Sawai Madhopur,RAJASTHAN,69.1,57.8,81.0,0.6,99.8,99.9,0.2,4.1,3.2,2.6,38.9,0.0,47.9,78.6
30.0,Sikar,RAJASTHAN,80.4,59.4,74.4,0.6,99.6,99.9,0.4,17.5,6.7,2.2,66.5,0.0,39.6,0.0
31.0,Sirohi,RAJASTHAN,63.9,55.2,30.0,0.4,99.2,99.9,0.8,7.9,5.7,14.0,53.0,0.0,24.7,8.7
32.0,Tonk,RAJASTHAN,84.6,59.5,98.8,1.1,99.8,99.9,0.2,7.4,11.1,63.2,63.2,0.0,50.9,0.0
33.0,Udaipur,RAJASTHAN,65.9,65.5,54.7,1.6,95.5,96.3,4.5,13.6,21.5,26.1,73.9,0.0,55.3,109.7
