S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Tamil Nadu,TAMIL NADU,92.2,88.3,95.5,3.9,100.0,100.0,0.0,44.0,52.2,17.7,52.8,2.5,28.9,6.6
1.0,Ariyalur,TAMIL NADU,93.0,90.0,83.6,4.0,100.0,100.0,0.0,45.2,55.4,10.4,0.2,2.9,23.2,100.0
2.0,Chennai,TAMIL NADU,91.4,98.5,103.3,2.4,100.0,100.0,0.0,37.7,24.1,28.0,91.2,2.8,32.3,0.0
3.0,Coimbatore,TAMIL NADU,93.3,89.7,101.6,1.0,100.0,100.0,0.0,46.3,21.5,12.6,39.6,1.8,20.2,0.0
4.0,Cuddalore,TAMIL NADU,94.7,91.2,86.7,1.7,100.0,100.0,0.0,50.5,52.1,20.2,13.9,1.5,18.6,0.0
5.0,Dharmapuri,TAMIL NADU,96.1,86.1,96.4,1.2,100.0,100.0,0.0,40.0,5.7,1.0,60.0,0.2,4.3,0.0
6.0,Dindigul,TAMIL NADU,94.9,93.1,125.3,4.7,100.0,100.0,0.0,41.7,50.1,20.0,73.6,1.7,23.5,0.0
7.0,Erode,TAMIL NADU,93.9,93.7,98.7,2.3,100.0,100.0,0.0,59.1,44.1,30.3,51.8,3.1,29.1,0.0
8.0,Kancheepuram,TAMIL NADU,89.7,94.3,146.3,3.1,99.9,99.9,0.1,47.6,49.6,27.9,39.2,3.4,11.3,0.0
9.0,Kanniyakumari,TAMIL NADU,96.5,99.3,99.4,2.4,100.0,100.0,0.0,61.9,25.9,23.7,99.4,2.8,62.9,0.0
10.0,Karur,TAMIL NADU,96.5,85.1,96.0,3.2,100.0,100.0,0.0,46.3,56.6,14.3,43.7,2.4,77.0,0.0
11.0,Krishnagiri,TAMIL NADU,81.8,92.8,85.5,5.5,100.0,100.0,0.0,40.3,45.4,5.5,78.8,1.0,19.6,0.0
12.0,Madurai,TAMIL NADU,92.9,79.6,88.6,1.6,100.0,100.0,0.0,44.4,16.9,9.2,59.8,1.4,5.4,0.0
13.0,Nagapattinam,TAMIL NADU,97.6,69.1,128.0,2.5,100.0,100.0,0.0,48.1,58.9,14.9,24.1,3.0,28.8,0.0
14.0,Namakkal,TAMIL NADU,84.8,79.6,97.3,3.9,99.8,99.8,0.2,59.2,40.3,25.6,72.2,1.1,17.3,0.0
15.0,Nilgiris,TAMIL NADU,94.5,86.7,80.0,3.4,100.0,100.0,0.0,39.2,79.9,21.9,0.0,1.3,47.4,0.0
16.0,Perambalur,TAMIL NADU,87.0,75.0,100.0,8.8,100.0,100.0,0.0,43.4,41.2,51.3,100.0,2.0,6.2,0.0
17.0,Pudukkottai,TAMIL NADU,93.4,91.4,93.4,7.0,100.0,100.0,0.0,39.2,72.1,13.2,60.3,7.0,13.5,0.0
18.0,Ramanathapuram,TAMIL NADU,94.3,90.6,86.4,2.5,100.0,100.0,0.0,50.9,60.5,5.6,2.9,2.9,15.4,0.0
19.0,Salem,TAMIL NADU,92.8,93.3,80.2,2.9,100.0,100.0,0.0,37.8,64.1,26.7,38.0,2.4,9.1,0.0
20.0,Sivaganga,TAMIL NADU,96.9,92.3,65.0,4.5,100.0,100.0,0.0,46.5,76.3,7.7,43.4,2.3,55.2,0.0
21.0,Thanjavur,TAMIL NADU,95.2,80.1,71.3,12.3,100.0,100.0,0.0,50.9,98.6,30.6,24.6,4.9,14.7,0.0
22.0,Theni,TAMIL NADU,85.8,97.8,88.8,12.9,100.0,100.0,0.0,47.0,26.8,12.1,73.6,1.1,23.0,0.0
23.0,Thiruvallur,TAMIL NADU,83.2,71.7,89.9,2.1,100.0,100.0,0.0,33.7,81.0,7.6,14.7,2.7,9.2,0.0
24.0,Thiruvarur,TAMIL NADU,81.1,72.4,77.6,1.3,99.7,100.0,0.3,58.0,67.5,3.5,0.0,1.4,19.6,0.0
25.0,Tiruchirappalli,TAMIL NADU,92.6,94.4,94.2,7.8,100.0,100.0,0.0,38.7,48.7,3.6,68.7,3.2,28.7,0.0
26.0,Tirunelveli,TAMIL NADU,95.0,89.8,89.6,3.7,100.0,100.0,0.0,48.6,50.5,13.3,57.0,2.9,51.5,0.0
27.0,Tirupur,TAMIL NADU,97.2,88.8,109.1,2.8,100.0,100.0,0.0,50.8,45.1,47.0,4.1,2.9,28.6,0.0
28.0,Tiruvanamalai,TAMIL NADU,92.4,90.0,102.7,2.6,99.8,99.8,0.2,30.3,65.9,4.7,151.8,2.3,31.3,9.2
29.0,Toothukudi,TAMIL NADU,93.4,96.0,101.4,4.3,100.0,100.0,0.0,50.3,47.8,7.5,51.7,5.1,29.7,0.0
30.0,Vellore,TAMIL NADU,91.9,92.6,81.8,4.2,100.0,100.0,0.0,29.6,113.0,9.3,60.7,2.5,75.1,0.0
31.0,Viluppuram,TAMIL NADU,92.7,76.8,84.3,5.3,100.0,100.0,0.0,42.2,59.8,22.5,35.7,0.8,50.9,0.0
32.0,Virudhunagar,TAMIL NADU,94.4,73.1,82.8,8.1,100.0,100.0,0.0,53.9,61.8,29.7,50.5,1.8,46.9,100.0
