S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Telangana,TELANGANA,72.2,82.5,104.6,2.5,99.9,100.0,0.1,44.4,1.6,89.6,92.8,0.0,28.4,46.5
1.0,Adilabad,TELANGANA,86.8,77.3,85.2,11.4,99.5,99.9,0.5,42.9,1.3,37.8,81.2,0.0,22.0,0.0
2.0,BHADRADRI KOTHAGUDEM,TELANGANA,86.8,55.7,82.5,2.2,99.6,99.7,0.4,45.5,3.9,94.0,79.4,0.1,72.1,797.4
3.0,Hyderabad,TELANGANA,51.0,53.8,93.1,3.2,100.0,100.0,0.0,19.1,1.1,55.2,98.5,0.0,40.3,16.7
4.0,JAGITIAL,TELANGANA,85.3,90.3,134.0,2.1,100.0,100.0,0.0,73.8,5.7,78.6,128.7,0.0,10.5,0.0
5.0,JANGOAN,TELANGANA,91.4,78.5,130.8,2.7,100.0,100.0,0.0,50.5,2.5,67.3,93.1,0.1,163.1,0.0
6.0,JAYASHANKAR BHUPALPALLY,TELANGANA,88.0,47.6,66.0,1.5,100.0,100.0,0.0,56.7,0.0,0.0,52.5,0.0,4.4,0.0
7.0,JOGULAMBA GADWAL,TELANGANA,62.3,39.8,109.1,1.6,100.0,100.0,0.0,15.7,1.4,210.0,105.0,0.0,13.1,0.0
8.0,KAMAREDDY,TELANGANA,55.9,126.7,112.5,0.6,99.8,100.0,0.2,44.4,0.0,0.0,99.3,0.0,14.2,0.0
9.0,KOMARAM BHEEM,TELANGANA,87.8,51.0,87.8,0.6,97.9,98.7,2.1,24.0,0.4,0.0,84.0,0.0,15.1,0.0
