S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Uttar Pradesh,UTTAR PRADESH,53.7,66.5,95.5,1.5,85.5,87.6,14.5,6.7,6.5,16.3,52.9,0.3,31.0,12.7
1.0,Agra,UTTAR PRADESH,51.7,60.1,174.8,1.6,95.8,98.5,4.2,3.1,4.9,24.5,79.6,1.0,38.2,0.0
2.0,Aligarh,UTTAR PRADESH,54.5,56.4,57.9,2.0,90.4,91.1,9.6,4.6,1.6,89.2,28.7,0.3,31.1,0.0
3.0,Allahabad,UTTAR PRADESH,48.4,55.1,87.6,0.8,88.6,88.6,11.4,7.7,9.1,34.3,37.6,0.5,22.2,950.0
4.0,Ambedkar Nagar,UTTAR PRADESH,67.2,72.1,91.6,1.1,91.6,93.8,8.4,2.2,1.6,37.4,6.9,0.1,11.7,0.0
5.0,Auraiya,UTTAR PRADESH,58.1,65.4,90.0,0.1,90.3,90.5,9.7,0.0,0.3,230.0,52.4,6.7,36.9,33.3
6.0,Azamgarh,UTTAR PRADESH,45.4,56.3,46.1,3.4,93.1,96.4,6.9,2.3,0.7,46.2,27.4,0.6,18.9,0.0
7.0,Bagpat,UTTAR PRADESH,71.9,82.0,81.9,1.2,90.8,90.8,9.2,3.2,1.8,100.0,81.6,0.0,63.0,0.0
8.0,Bahraich,UTTAR PRADESH,65.1,74.5,87.9,1.2,78.3,79.7,21.7,3.6,4.6,29.5,50.8,0.0,14.8,94.8
9.0,Ballia,UTTAR PRADESH,43.5,53.8,51.7,3.6,78.2,87.6,21.8,1.1,7.3,5.1,24.2,0.0,8.9,100.0
