S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_Uttarakhand,UTTARAKHAND,67.5,60.1,68.5,1.2,88.3,91.4,11.7,15.9,3.0,109.8,65.3,0,34.7,14.3
1.0,Almora,UTTARAKHAND,52.4,30.7,69.0,0.8,83.1,94.4,16.9,10.8,1.6,83.3,75.1,0,32.8,0.0
2.0,Bageshwar,UTTARAKHAND,82.0,48.5,55.8,0.0,78.3,92.5,21.7,3.7,0.0,0.0,44.3,0,0.0,0.0
3.0,Chamoli,UTTARAKHAND,55.3,45.2,96.2,0.4,64.2,88.6,35.8,7.2,2.7,0.0,67.6,0,9.8,0.0
4.0,Champawat,UTTARAKHAND,72.2,51.9,64.4,0.2,71.1,76.8,28.9,0.0,0.0,0.0,76.9,0,27.4,0.0
5.0,Dehradun,UTTARAKHAND,64.9,78.6,42.8,2.2,96.0,96.2,4.0,26.8,6.8,54.1,39.7,0,24.8,0.0
6.0,Garhwal,UTTARAKHAND,41.0,38.3,77.9,2.7,90.0,92.5,10.0,18.3,0.7,2266.7,71.2,0,39.3,0.0
7.0,Hardwar,UTTARAKHAND,70.6,56.0,72.3,0.8,85.1,87.2,14.9,8.9,2.9,48.4,70.3,0,25.5,28.6
8.0,Nainital,UTTARAKHAND,72.4,53.1,45.9,1.1,91.6,96.1,8.4,34.8,2.5,61.5,66.4,0,9.6,0.0
9.0,Pithoragarh,UTTARAKHAND,65.8,77.3,81.2,1.0,84.3,94.2,15.7,18.2,0.5,2883.3,74.3,0,28.3,0.0
10.0,Rudraprayag,UTTARAKHAND,70.7,68.3,98.8,0.1,85.5,97.2,14.5,11.6,0.0,0.0,96.7,0,83.5,0.0
11.0,Tehri Garhwal,UTTARAKHAND,57.4,54.3,60.5,0.2,75.5,77.3,24.5,2.9,0.0,0.0,59.3,0,32.7,0.0
12.0,Udham Singh Nagar,UTTARAKHAND,84.3,67.6,95.4,0.9,92.4,92.6,7.6,5.7,1.7,153.9,86.1,0,64.8,0.0
13.0,Uttarkashi,UTTARAKHAND,48.8,42.5,64.4,1.2,78.5,79.1,21.5,1.3,3.2,32.3,31.5,0,77.9,0.0
