S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
0.0,_West Bengal,WEST BENGAL,87.9,67.7,75.6,2.9,98.6,98.6,1.4,38.0,16.5,18.6,52.3,0.2,24.4,256.7
1.0,Alipurduar,WEST BENGAL,91.9,53.7,68.6,5.5,98.3,98.3,1.7,42.2,39.1,20.6,56.3,0.1,59.0,0.0
2.0,Bankura,WEST BENGAL,95.1,69.8,78.9,1.6,99.5,99.5,0.5,29.4,19.9,7.1,58.8,0.1,19.8,0.0
3.0,Birbhum,WEST BENGAL,94.3,69.7,73.3,2.3,99.2,99.2,0.8,19.6,15.8,32.7,45.7,0.0,9.3,0.0
4.0,Dakshin Dinajpur,WEST BENGAL,89.2,56.9,70.3,3.7,99.3,99.3,0.7,31.4,52.4,9.8,12.3,0.1,9.0,0.0
5.0,Darjiling,WEST BENGAL,84.2,66.7,118.3,3.1,99.7,99.7,0.3,41.2,8.2,48.5,97.6,0.1,64.4,0.0
6.0,Haora,WEST BENGAL,88.9,77.9,79.3,2.9,99.0,99.0,1.0,43.0,28.8,7.2,55.8,0.0,24.8,33.3
7.0,Hugli,WEST BENGAL,87.4,71.3,73.9,3.2,99.9,99.9,0.1,59.0,12.2,17.4,64.7,0.1,10.5,57.1
8.0,Jalpaiguri,WEST BENGAL,91.9,62.2,79.0,3.8,99.6,99.6,0.4,28.7,19.6,55.9,18.0,0.0,35.9,25.0
9.0,Jhargram,WEST BENGAL,93.3,76.8,76.7,2.6,99.6,99.6,0.4,24.4,3.7,35.8,43.0,0.0,10.6,0.0
10.0,Kalimpong,WEST BENGAL,85.9,72.4,97.3,3.8,99.7,99.7,0.3,45.6,23.3,35.1,100.5,0.0,10.6,200.0
11.0,Koch Bihar,WEST BENGAL,89.8,57.4,79.7,4.0,97.5,97.5,2.5,36.6,21.5,26.3,56.3,0.0,45.2,0.0
12.0,Kolkata,WEST BENGAL,45.7,52.8,36.9,6.1,100.0,100.0,0.0,59.4,15.1,6.4,42.9,2.7,51.2,85.7
13.0,Maldah,WEST BENGAL,89.0,63.4,48.2,3.1,96.9,96.9,3.1,21.8,10.8,4.3,45.8,0.0,4.0,100.0
14.0,Murshidabad,WEST BENGAL,92.2,69.8,76.1,3.8,96.4,96.4,3.6,36.1,11.5,36.6,48.4,0.0,33.9,0.0
15.0,Nadia,WEST BENGAL,92.8,65.9,108.5,2.9,99.8,99.8,0.2,63.9,25.1,11.0,89.8,0.1,16.2,0.0
16.0,North Twenty Four Parganas,WEST BENGAL,79.2,61.9,76.6,1.4,99.5,99.5,0.5,45.9,16.1,18.4,60.1,0.1,16.8,76.9
17.0,Paschim Barddhaman,WEST BENGAL,65.0,57.9,63.6,1.9,100.0,100.0,0.0,42.1,24.6,18.9,45.2,0.0,13.2,0.0
18.0,Paschim Medinipur,WEST BENGAL,94.2,83.6,79.9,0.8,99.9,100.0,0.1,36.6,19.7,6.3,28.3,0.0,3.7,0.0
19.0,Purba Barddhaman,WEST BENGAL,95.9,71.0,75.3,3.9,99.9,99.9,0.1,44.2,8.2,36.9,29.3,0.0,71.2,0.0
20.0,Purba Medinipur,WEST BENGAL,95.5,67.3,73.6,1.4,98.6,98.6,1.4,49.4,14.5,23.1,62.8,1.0,8.1,0.0
21.0,Puruliya,WEST BENGAL,94.9,82.1,80.2,1.2,98.3,98.3,1.7,13.6,15.0,13.7,64.0,0.2,61.3,0.0
22.0,South Twenty Four Parganas,WEST BENGAL,94.1,70.7,90.1,3.1,99.3,99.3,0.7,24.8,14.2,19.9,60.8,0.0,16.6,66.7
23.0,Uttar Dinajpur,WEST BENGAL,91.5,69.4,73.5,2.2,92.6,92.6,7.4,32.0,16.4,15.0,36.3,0.0,4.9,0.0
